Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
European Equities19 Jan 2022All datapoints provided as of end of last active trading day."AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;59.20;59.47;58.81;59.14;"18/01/22 17:35";CET;1417676;83947570.75
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;5.45;5.55;5.45;5.55;"18/01/22 13:49";CET;3590;19823.60
"ACACIA PHARMA";GB00BYWF9Y76;ACPH;"Euronext Brussels";EUR;1.49;1.49;1.424;1.43;"18/01/22 17:35";CET;40729;59245.58
ACCENTIS;BE0003696102;ACCB;"Euronext Brussels";EUR;0.064;0.065;0.064;0.065;"18/01/22 17:29";CET;5180;331.84
"ACKERMANS V.HAAREN";BE0003764785;ACKB;"Euronext Brussels";EUR;178.10;178.40;176.20;178.20;"18/01/22 17:35";CET;18261;3242465.30
ADVICENNE;FR0013296746;ADVIC;"Euronext Paris, Brussels";EUR;8.69;8.82;8.55;8.79;"18/01/22 17:35";CET;28966;252026.42
AEDIFICA;BE0003851681;AED;"Euronext Brussels, Amsterdam";EUR;112.20;112.20;109.50;110.00;"18/01/22 17:35";CET;61421;6772411.20
AGEAS;BE0974264930;AGS;"Euronext Brussels";EUR;45.40;45.50;44.04;44.17;"18/01/22 17:36";CET;881373;39245355.90
AGFA-GEVAERT;BE0003755692;AGFB;"Euronext Brussels";EUR;3.945;3.945;3.85;3.865;"18/01/22 17:35";CET;119908;465060.46
"AHOLD DEL";NL0011794037;AD;"Euronext Amsterdam, Brussels";EUR;30.405;30.525;30.095;30.30;"18/01/22 17:35";CET;2152384;65270801.28
"AKKA TECHNOLOGIES";FR0004180537;AKA;"Euronext Paris, Brussels";EUR;48.54;48.58;48.52;48.52;"18/01/22 17:35";CET;2839;137772.60
"ANTARES CERT";BE0003676872;ANT;"Euronext Brussels";EUR;6.27;6.351;6.27;6.351;"13/01/22 16:30";CET;1481;9291.95
APERAM;LU0569974404;APAM;"Euronext Amsterdam, Brussels, Paris";EUR;54.76;54.76;53.70;54.38;"18/01/22 17:35";CET;108310;5877608.54
"ARGENX SE";NL0010832176;ARGX;"Euronext Brussels";EUR;257.10;257.10;247.40;250.80;"18/01/22 17:35";CET;72729;18269863.80
ASCENCIO;BE0003856730;ASC;"Euronext Brussels";EUR;54.60;55.00;53.90;54.40;"18/01/22 17:35";CET;23014;1256137.30
ASIT;BE0974289218;ASIT;"Euronext Brussels, Paris";EUR;0.235;0.24;0.226;0.226;"18/01/22 14:33";CET;26310;6164.16
ASSICURAZ.GEN.ORD.;IT0000062072;GEN;"Traded not listed Brussels";EUR;18.75;18.75;18.44;18.44;"18/01/22 11:21";CET;600;11110.50
ATENOR;BE0003837540;ATEB;"Euronext Brussels";EUR;59.00;59.00;58.60;59.00;"18/01/22 17:35";CET;1224;71907.60
AUDIOVALLEY;BE0974334667;ALAVY;"Euronext Growth Paris, Brussels";EUR;3.29;3.32;3.26;3.26;"18/01/22 14:52";CET;916;3011.93
AVANTIUM;NL0012047823;AVTX;"Euronext Amsterdam, Brussels";EUR;4.93;4.93;4.72;4.75;"18/01/22 17:35";CET;111973;534335.67
"AZELIS GROUP";BE0974400328;AZE;"Euronext Brussels";EUR;23.745;23.745;22.035;22.25;"18/01/22 17:37";CET;82702;1859687.35
"BALTA GROUP";BE0974314461;BALTA;"Euronext Brussels";EUR;3.55;3.95;3.55;3.74;"18/01/22 17:35";CET;111044;425249.39
"BANCO BILBAO VIZC.";ES0113211835;BBV;"Traded not listed Brussels";EUR;5.705;5.75;5.705;5.732;"14/01/22 16:21";CET;400;2293.70
"BANCO SANTANDER";ES0113900J37;SANTA;"Traded not listed Brussels";EUR;3.1785;3.1805;3.155;3.155;"18/01/22 16:50";CET;6220;19735.46
"BANIMMO A";BE0003870871;BANI;"Euronext Brussels";EUR;3.98;3.98;3.90;3.90;"18/01/22 12:36";CET;3348;13170.00
BARCO;BE0974362940;BAR;"Euronext Brussels";EUR;20.10;20.10;19.70;19.71;"18/01/22 17:35";CET;75390;1492308.37
"BASILIX CERT";BE0003674851;BAS;"Euronext Brussels";EUR;13.556;13.556;13.556;13.556;"12/01/22 16:30";CET;40;542.24
"BEAULIEU-AV. CERT";BE0003661726;BEAB;"Euronext Brussels";EUR;5.60;5.60;5.60;5.60;"18/01/22 11:45";CET;202;1131.20
BEFIMMO;BE0003678894;BEFB;"Euronext Brussels";EUR;34.35;34.55;34.15;34.25;"18/01/22 17:35";CET;18619;639084.90
